PROVINCIE,BRIN,INSTELLINGSCODE,VESTIGINGSCODE,NAAM,STRAATNAAM,HUISNUMMER,POSTCODE,PLAATSNAAM,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,VAKANTIEREGIO
Drenthe,32073,03WU,03WU00,Kindcentrum De Wegwijzer,Harm Tiesingstraat,74,9571 AZ,2E EXLOERMOND,BORGER-ODOORN,Protestants-Christelijk,599671206,www.ckcdewegwijzer.nl,Noord
Drenthe,32073,04LY,04LY00,Christelijk Kindcentrum De Borgh,Molenstraat,3-A,9531 CH,BORGER,BORGER-ODOORN,Protestants-Christelijk,599234254,www.cbsdeborgh.nl,Noord
Drenthe,32073,04TG,04TG00,Kindcentrum Drijber,Nijenkamp,29,9419 TM,DRIJBER,MIDDEN-DRENTHE,Protestants-Christelijk,593562543,www.cbsdrijber.nl,Noord
Drenthe,32073,05NQ,05NQ00,Christelijk Kindcentrum Menso Altingschool,Brinkhovenlaan,3-B,9765 BH,PATERSWOLDE,TYNAARLO,Protestants-Christelijk,503093854,www.cbs-mensoalting.nl,Noord
Drenthe,32073,05OC,05OC00,Dalton Kindcentrum ���t Kompas,Ceresstraat,6,9514 CA,GASSELTERNIJVEEN,AA EN HUNZE,Protestants-Christelijk,599512734,www.dkckompas.nl,Noord
Drenthe,32073,05RC,05RC00,Kindcentrum De Klister,Noorderdiep,123,9521 BC,NIEUW-BUINEN,BORGER-ODOORN,Protestants-Christelijk,599613864,www.cbsdeklister.nl,Noord
Drenthe,32073,05RD,05RD00,CKC School 59,Zuiderdiep,159,9521 AD,NIEUW-BUINEN,BORGER-ODOORN,Protestants-Christelijk,599212321,www.school59.nl,Noord
Drenthe,32073,05TN,05TN00,Dalton Kindcentrum De Vaart,Prof. Dr. Obbinkstraat,3-B,9423 PR,HOOGERSMILDE,MIDDEN-DRENTHE,Protestants-Christelijk,592459055,www.cbsdevaart.nl,Noord
Drenthe,32073,05TS,05TS00,Kindcentrum SPEEL en LEER,Kerklaan,3,9341 AV,VEENHUIZEN,NOORDENVELD,Protestants-Christelijk,592388355,www.kindcentrumspeelenleer.nl,Noord
Drenthe,32073,06HP,06HP00,Kindcentrum Het Octaaf,Witterhoofdweg,1-C,9405 HX,ASSEN,ASSEN,Protestants-Christelijk,592351506,www.octaafassen.nl,Noord
Drenthe,32073,06HZ,06HZ00,Dalton Kindcentrum De Wingerd,Floralaan,1-A,9421 NP,BOVENSMILDE,MIDDEN-DRENTHE,Protestants-Christelijk,592412991,www.cbsdewingerd.nl,Noord
Drenthe,32073,06LV,06LV00,Kindcentrum De Marke,De Weegbree,21,9461 KM,GIETEN,AA EN HUNZE,Protestants-Christelijk,592263113,www.demarkegieten.nl,Noord
Drenthe,32073,07AU,07AU00,Kindcentrum De Wegwijzer,Homaat,2,9431 MK,WESTERBORK,MIDDEN-DRENTHE,Protestants-Christelijk,593331305,www.wegwijzer-westerbork.nl,Noord
Drenthe,32073,07NN,07NN00,Kindcentrum De Holtenhoek,Holtenweg,5,9481 CN,VRIES,TYNAARLO,Protestants-Christelijk,592541644,www.deholtenhoek.nl,Noord
Drenthe,32073,08PP,08PP00,Kindcentrum De Schutkampen,Prins Hendrikstraat,2,9422 GJ,SMILDE,MIDDEN-DRENTHE,Protestants-Christelijk,592414010,www.cbsdeschutkampen.nl,Noord
Drenthe,32073,09KO,09KO00,Kindcentrum De Regenboog,Tuinstraat,5-B,9404 KK,ASSEN,ASSEN,Protestants-Christelijk,592316723,www.regenboogassen.nl,Noord
Drenthe,32073,09QP,09QP00,Kindcentrum Beatrix,Sportlaan,10,9411 BG,BEILEN,MIDDEN-DRENTHE,Protestants-Christelijk,593522718,www.cbsprinsesbeatrix.nl,Noord
Drenthe,32073,10IL,10IL00,Christelijk Kindcentrum Het Stroomdal,Esdoornlaan,1,9471 SH,ZUIDLAREN,TYNAARLO,Protestants-Christelijk,504093170,www.stroomdal.nl,Noord
Drenthe,32073,10KN,10KN00,Christelijk Dalton Kindcentrum De Eshorst,Esweg,106,9411 AK,BEILEN,MIDDEN-DRENTHE,Protestants-Christelijk,593523159,www.eshorst.nl,Noord
Drenthe,32073,10YQ,10YQ00,Dalton Kindcentrum Jonglaren,Ludinge,6,9471 JD,ZUIDLAREN,TYNAARLO,Protestants-Christelijk,504092079,www.jonglaren.nl,Noord
Drenthe,32073,11KN,11KN00,Kindcentrum De Lichtbaak,Amstelstraat,14-B,9406 TH,ASSEN,ASSEN,Protestants-Christelijk,592354150,www.delichtbaak.nl,Noord
Drenthe,32073,11VZ,11VZ00,Christelijk Kindcentrum Het Kompas,Einthovenstraat,26,9402 CB,ASSEN,ASSEN,Protestants-Christelijk,592354234,www.ckchetkompas.nl/,Noord
Drenthe,32073,12OR,12OR00,Kindcentrum De Scharmhof,Scharmbarg,1,9407 EA,ASSEN,ASSEN,Protestants-Christelijk,592343800,www.scharmhof.nl,Noord
Drenthe,32073,14ZS,14ZS00,Christelijk Kindcentrum Rehoboth,Rooilaan,154,7876 GW,VALTHERMOND,BORGER-ODOORN,Protestants-Christelijk,599662367,www.rehoboth-school.nl,Noord
Drenthe,32073,21LS,21LS00,Kindcentrum De Borg,Dusselheugte,13,9403 GN,ASSEN,ASSEN,Protestants-Christelijk,592370203,www.basisschooldeborg.nl,Noord
Drenthe,32073,21QU,21QU00,Kindcentrum De Tol,De Hilde,1,9472 WH,ZUIDLAREN,TYNAARLO,Protestants-Christelijk,504091804,www.kcdetol.nl,Noord
Drenthe,32073,27BM,27BM00,Kindcentrum Het Krijt,Schoolstraat,29,9408 MB,ASSEN,ASSEN,Protestants-Christelijk,592460370,www.cbshetkrijt.nl,Noord
Drenthe,32073,27WZ,27WZ00,Kindcentrum De Kloostertuin,Aletta Jacobsweg,80,9408 AM,ASSEN,ASSEN,Protestants-Christelijk,592350303,www.dekloostertuin.nl,Noord
Drenthe,32073,31LD,31LD00,CKC De Rietzanger,Borchsingel,39,9766 PP,EELDERWOLDE,TYNAARLO,Protestants-Christelijk,502053399,www.ckcderietzanger.nl,Noord
Drenthe,40655,03GR,03GR00,Het Mozaiek,De Stok,4,7913 RE,HOLLANDSCHEVELD,HOOGEVEEN,Protestants-Christelijk,528343291,www.pcbshetmozaiek.nl,Noord
