PROVINCIE,BRIN,INSTELLINGSCODE,VESTIGINGSCODE,NAAM,STRAATNAAM,HUISNUMMER,POSTCODE,PLAATSNAAM,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,ONDERWIJSSTRUCTUUR,VAKANTIEREGIO
Drenthe,10053,18BR,18BR00,School voor Praktijkonderwijs Assen,Zwartwatersweg,202,9406 NN,ASSEN,ASSEN,Openbaar,592340973,www.pro-assen.nl,PRO,Noord
Drenthe,10053,18BR,18BR01,School voor Praktijkonderwijs Assen,Bosrand,2,9401 SL,ASSEN,ASSEN,Openbaar, , ,PRO,Noord
Drenthe,13273,02EB,02EB00,Stichting Christelijk Voortgezet Onderw Vincent van Gogh VWO Havo Mavo Vbo Lwoo,Selma Lagerloflaan,3,9406 KB,ASSEN,ASSEN,Bijzonder,592390290,www.csvincentvangogh.nl,HAVO/VWO,Noord
Drenthe,13273,02EB,02EB04,Christelijk Scholengemeenschap Vincent van Gogh Lyceum Havo Mavo Vbo Lwoo,Salland,4,9405 GM,ASSEN,ASSEN,Bijzonder,592390290,www.csvincentvangogh.nl,VBO/MAVO,Noord
Drenthe,13273,02EB,02EB07,Christelijk Scholengemeenschap Vincent van Gogh Lyceum Havo Mavo Vbo Lwoo,De Omloop,5,9411 KA,BEILEN,MIDDEN-DRENTHE,Bijzonder,593522819,www.csvincentvangogh.nl,VBO/MAVO,Noord
Drenthe,13273,20LO,20LO00,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Salland,4,9405 GM,ASSEN,ASSEN,Openbaar,592390290,www.nassauvincent.nl,HAVO/VWO,Noord
Drenthe,13273,20LO,20LO01,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Schoolstraat,1,9331 AV,NORG,NOORDENVELD,Openbaar,592675750, ,VBO/MAVO/HAVO/VWO,Noord
Drenthe,13273,20LO,20LO02,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,De Omloop,5,9411 KA,BEILEN,MIDDEN-DRENTHE,Openbaar,593522819, ,VBO/MAVO,Noord
Drenthe,13273,20LO,20LO03,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Stokleggingslaan,17,9461 CC,GIETEN,AA EN HUNZE,Openbaar,592261983, ,VBO/MAVO,Noord
Drenthe,13273,20LO,20LO04,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,A.H.G. Fokkerstraat,1,9403 AM,ASSEN,ASSEN,Openbaar,592333160, ,VBO/MAVO,Noord
Drenthe,13273,20LO,20LO08,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Merwedestraat,16,9406 RM,ASSEN,ASSEN,Openbaar,592333176, ,VBO/MAVO,Noord
Drenthe,13273,20LO,20LO10,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Echtenstraat,3,9402 JA,ASSEN,ASSEN,Openbaar,592333176, ,BRUGJAAR,Noord
Drenthe,13737,06DT,06DT00,School voor Praktijkonderwijs De Meander,Wolfsbosstraat,7-A,7905 BZ,HOOGEVEEN,HOOGEVEEN,Openbaar,528266192,www.wolfsbos.nl,PRO,Noord
Drenthe,13737,19IW,19IW00,Regionale Scholengemeenschap Wolfsbos,Valkenlaan,1,7905 AA,HOOGEVEEN,HOOGEVEEN,Openbaar,528266192,www.wolfsbos.nl,VBO/MAVO/HAVO/VWO,Noord
Drenthe,13737,19IW,19IW02,Regionale Scholengemeenschap Wolfsbos,Valkenlaan,3,7905 AA,HOOGEVEEN,HOOGEVEEN,Openbaar,528266192,528266192,BRUGJAAR,Noord
Drenthe,13737,19IW,19IW04,Regionale Scholengemeenschap Wolfsbos,Wolfsbosstraat,3,7905 BZ,HOOGEVEEN,HOOGEVEEN,Openbaar,528266192,www.wolfsbos.nl,VBO,Noord
Drenthe,13737,19IW,19IW05,Regionale Scholengemeenschap Wolfsbos,Wolfsbosstraat,7,7905 BZ,HOOGEVEEN,HOOGEVEEN,Openbaar,528266192,www.wolfsbos.nl,VBO/MAVO,Noord
Drenthe,35647,00PF,00PF00,Carmelcollege Emmen,Wendeling,59,7824 TB,EMMEN,EMMEN,Bijzonder,591622870,www.carmelcollege.nl,VBO/MAVO/HAVO/VWO,Noord
Drenthe,40872,25PW,25PW51,Drenthe College Terra,Vredeveldseweg,55,9404 CC,ASSEN,ASSEN,Overige,592312289, ,VBO,Noord
Drenthe,Z,25PW,25PW52,Drenthe College Terra,Burg. J.G. Legroweg,29,9761 TA,EELDE,TYNAARLO,Overige,503091625, ,VBO,Noord
Drenthe,40872,25PW,25PW53,Drenthe College Terra,Huizingsbrinkweg,9,7812 BK,EMMEN,EMMEN,Overige,591617344, ,VBO,Noord
